rat,date,tethered
T176,5/3/2018,TRUE
T176,5/5/2018,TRUE
T176,5/8/2018,TRUE
T176,5/10/2018,TRUE
T176,5/15/2018,TRUE
T176,5/21/2018,TRUE
T176,5/23/2018,TRUE
T176,5/28/2018,TRUE
T176,5/31/2018,TRUE
T176,6/6/2018,TRUE
T176,6/8/2018,TRUE
T176,6/13/2018,TRUE
T176,6/19/2018,TRUE
T181,2018_07_03,TRUE
T181,2018_07_04,TRUE
T181,2018_07_05,TRUE
T181,2018_07_06,TRUE
T181,2018_07_09,TRUE
T181,2018_07_10,TRUE
T181,2018_07_11,TRUE
T181,2018_07_12,TRUE
T181,2018_07_13,TRUE
T181,2018_07_16,TRUE
T181,2018_07_23,TRUE
T181,2018_07_24,TRUE
T181,2018_07_25,TRUE
T181,2018_07_26,TRUE
T181,2018_07_30,TRUE
T181,2018_07_31,TRUE
T181,2018_08_02,TRUE
T181,2018_08_03,TRUE
T181,2018_08_07,TRUE
T181,2018_08_09,TRUE
T181,2018_08_13,TRUE
T181,2018_08_14,TRUE
T181,2018_09_01,TRUE
T181,2018_09_05,TRUE
T181,2018_09_06,TRUE
T181,2018_09_07,TRUE
T181,2018_09_10,TRUE
T181,2018_09_11,TRUE
T181,2018_09_12,TRUE
T181,2018_09_13,TRUE
T181,2018_09_17,TRUE
T181,2018_09_18,TRUE
T181,2018_09_19,TRUE
T181,2018_09_20,TRUE
T181,2018_09_21,TRUE
T181,2018_09_24,TRUE
T181,2018_09_25,TRUE
T181,2018_09_27,TRUE
T181,2018_10_01,TRUE
T181,2018_10_02,TRUE
T181,2018_10_03,TRUE
T181,2018_10_04,TRUE
T181,2018_10_29,TRUE
T181,2018_10_30,TRUE
T181,2018_10_31,TRUE
T181,2018_11_01,TRUE
