rat,date
K265,27-May-2019 00:00:00
T173,16-Apr-2018 00:00:00
T176,19-Jun-2018 00:00:00
T176,13-Jun-2018 00:00:00
T176,08-Jun-2018 00:00:00
T176,06-Jun-2018 00:00:00
T176,31-May-2018 00:00:00
T176,28-May-2018 00:00:00
T176,23-May-2018 00:00:00
T176,21-May-2018 00:00:00
T176,15-May-2018 00:00:00
T176,10-May-2018 00:00:00
T176,08-May-2018 00:00:00
T176,05-May-2018 00:00:00
T176,03-May-2018 00:00:00
T181,03-Jul-2018 00:00:00
T181,04-Jul-2018 00:00:00
T181,05-Jul-2018 00:00:00
T181,06-Jul-2018 00:00:00
T181,09-Jul-2018 00:00:00
T181,10-Jul-2018 00:00:00
T181,11-Jul-2018 00:00:00
T181,12-Jul-2018 00:00:00
T181,13-Jul-2018 00:00:00
T181,16-Jul-2018 00:00:00
T181,23-Jul-2018 00:00:00
T181,24-Jul-2018 00:00:00
T181,25-Jul-2018 00:00:00
T181,26-Jul-2018 00:00:00
T181,30-Jul-2018 00:00:00
T181,31-Jul-2018 00:00:00
T181,02-Aug-2018 00:00:00
T181,03-Aug-2018 00:00:00
T181,07-Aug-2018 00:00:00
T181,09-Aug-2018 00:00:00
T181,13-Aug-2018 00:00:00
T181,14-Aug-2018 00:00:00
T181,01-Sep-2018 00:00:00
T181,05-Sep-2018 00:00:00
T181,06-Sep-2018 00:00:00
T181,07-Sep-2018 00:00:00
T181,10-Sep-2018 00:00:00
T181,11-Sep-2018 00:00:00
T181,12-Sep-2018 00:00:00
T181,13-Sep-2018 00:00:00
T181,17-Sep-2018 00:00:00
T181,18-Sep-2018 00:00:00
T181,19-Sep-2018 00:00:00
T181,20-Sep-2018 00:00:00
T181,21-Sep-2018 00:00:00
T181,24-Sep-2018 00:00:00
T181,25-Sep-2018 00:00:00
T181,27-Sep-2018 00:00:00
T181,01-Oct-2018 00:00:00
T181,02-Oct-2018 00:00:00
T181,03-Oct-2018 00:00:00
T181,04-Oct-2018 00:00:00
T181,29-Oct-2018 00:00:00
T181,30-Oct-2018 00:00:00
T181,31-Oct-2018 00:00:00
T181,01-Nov-2018 00:00:00
T212,09-Aug-2019 00:00:00
T212,13-Aug-2019 00:00:00
T212,14-Aug-2019 00:00:00
T212,15-Aug-2019 00:00:00
T212,16-Aug-2019 00:00:00
T212,18-Aug-2019 00:00:00
T212,19-Aug-2019 00:00:00
T212,20-Aug-2019 00:00:00
T212,21-Aug-2019 00:00:00
T219,23-Nov-2019 00:00:00
T219,24-Nov-2019 00:00:00
T219,25-Nov-2019 00:00:00
T219,26-Nov-2019 00:00:00
T219,27-Nov-2019 00:00:00
T219,02-Dec-2019 00:00:00
T219,03-Dec-2019 00:00:00
T219,04-Dec-2019 00:00:00
T219,05-Dec-2019 00:00:00
T219,09-Dec-2019 00:00:00
T219,10-Dec-2019 00:00:00
T219,11-Dec-2019 00:00:00
T219,12-Dec-2019 00:00:00
T219,13-Dec-2019 00:00:00
T219,16-Dec-2019 00:00:00
T219,17-Dec-2019 00:00:00
T219,18-Dec-2019 00:00:00
T219,19-Dec-2019 00:00:00
T219,20-Dec-2019 00:00:00
T219,28-Dec-2019 00:00:00
T219,29-Dec-2019 00:00:00
T219,30-Dec-2019 00:00:00
T219,31-Dec-2019 00:00:00
T219,02-Jan-2020 00:00:00
T219,03-Jan-2020 00:00:00
T219,06-Jan-2020 00:00:00
T219,07-Jan-2020 00:00:00
T223,29-Oct-2019 00:00:00
T223,30-Oct-2019 00:00:00
T223,01-Nov-2019 00:00:00
T223,05-Nov-2019 00:00:00
T223,07-Nov-2019 00:00:00
T223,08-Nov-2019 00:00:00
T223,12-Nov-2019 00:00:00
T223,13-Nov-2019 00:00:00
T223,14-Nov-2019 00:00:00
T223,02-Dec-2019 00:00:00
T223,03-Dec-2019 00:00:00
T223,05-Dec-2019 00:00:00
T223,06-Dec-2019 00:00:00
T223,09-Dec-2019 00:00:00
T223,11-Dec-2019 00:00:00
T223,12-Dec-2019 00:00:00
T223,13-Dec-2019 00:00:00
T223,15-Dec-2019 00:00:00
T223,16-Dec-2019 00:00:00
T223,17-Dec-2019 00:00:00
T223,18-Dec-2019 00:00:00
T223,19-Dec-2019 00:00:00
T223,20-Dec-2019 00:00:00
T223,28-Dec-2019 00:00:00
T223,29-Dec-2019 00:00:00
T223,30-Dec-2019 00:00:00
T223,31-Dec-2019 00:00:00
T223,01-Jan-2020 00:00:00
T223,02-Jan-2020 00:00:00
T223,03-Jan-2020 00:00:00
T223,07-Jan-2020 00:00:00
T224,03-Jan-2020 00:00:00
T249,11-Feb-2020 00:00:00
T249,12-Feb-2020 00:00:00
