recording_id,date_implanted,date_explanted,electrodes_implanted,probe_sn,cumul_days_implanted
gain_noise_17131311881_2019_10_09,5/30/2018,10/2/2018,800,17131311881,125
gain_noise_17131312432_2019_11_11,8/3/2019,9/3/2019,384,17131312432,31
gain_noise_17131311352_2019_10_09,5/6/2019,9/6/2019,780,17131311352,123
gain_noise_18194823122_2019_11_15,9/15/2019,11/6/2019,740,18194823122,418
gain_noise_18194823631_2020_01_30,9/11/2019,1/29/2020,1000,18194823631,140
gain_noise_17131312432_2020_02_05,11/17/2019,2/3/2020,384,17131312432,109
gain_noise_17131312432_2020_03_18,2/6/2020,3/16/2020,384,17131312432,148
gain_noise_18194824092_2019_11_15,NaT,NaT,960,18194824092,0
gain_noise_18194824142_2019_10_09,NaT,NaT,960,18194824142,0
gain_noise_18194819542_2020_03_14,NaT,NaT,960,18194819542,0
